idx,percentage_match
483,40.0
484,40.0
485,60.0
491,60.0
493,80.0
496,100.0
499,40.0
501,100.0
505,40.0
506,60.0
507,40.0
509,60.0
511,60.0
512,60.0
513,60.0
515,60.0
521,40.0
523,60.0
528,60.0
532,40.0
540,60.0
545,100.0
548,60.0
550,40.0
551,40.0
552,40.0
556,60.0
557,40.0
563,60.0
565,40.0
568,80.0
573,60.0
574,40.0
576,100.0
577,40.0
583,100.0
593,40.0
594,60.0
599,60.0
602,60.0
603,40.0
606,60.0
608,80.0
611,60.0
612,60.0
613,40.0
614,100.0
617,40.0
618,100.0
625,40.0
627,40.0
630,80.0
631,60.0
634,100.0
635,100.0
641,80.0
642,80.0
643,40.0
646,40.0
649,60.0
650,100.0
651,60.0
660,40.0
662,40.0
664,100.0
666,80.0
672,40.0
673,40.0
674,80.0
680,80.0
683,60.0
685,40.0
686,60.0
690,40.0
692,40.0
696,60.0
697,60.0
698,80.0
703,60.0
706,40.0
707,80.0
708,40.0
710,60.0
711,80.0
713,40.0
714,40.0
716,40.0
718,60.0
720,100.0
721,40.0
722,80.0
727,40.0
731,60.0
736,80.0
742,60.0
747,60.0
748,40.0
752,80.0
753,60.0
754,60.0
1001,60.0
1005,60.0
1006,60.0
1009,80.0
1010,80.0
1012,80.0
1013,60.0
1014,60.0
1016,60.0
1017,40.0
1018,60.0
1019,80.0
1021,60.0
1022,80.0
1023,60.0
1024,100.0
1026,60.0
1028,40.0
1031,80.0
1033,60.0
1037,80.0
1040,40.0
1043,80.0
1045,60.0
1049,60.0
1050,60.0
1053,80.0
1054,60.0
1056,60.0
1057,60.0
1058,80.0
1059,80.0
1060,40.0
1062,40.0
1063,80.0
1065,60.0
1073,80.0
1074,80.0
1075,40.0
1078,60.0
1079,60.0
1080,80.0
1081,80.0
1083,60.0
1084,80.0
1086,60.0
1088,80.0
1089,100.0
1090,80.0
1094,60.0
1095,80.0
1096,40.0
1098,40.0
1099,40.0
1100,60.0
1101,60.0
1103,80.0
1105,60.0
1106,80.0
1112,60.0
1113,40.0
1116,80.0
1117,100.0
1118,60.0
1122,80.0
1125,80.0
1128,40.0
1129,40.0
1131,60.0
1133,60.0
1136,60.0
1138,60.0
1139,40.0
1143,80.0
1145,80.0
1146,60.0
1148,60.0
1149,60.0
1155,60.0
1158,80.0
1159,100.0
1160,75.0
1161,50.0
1162,75.0
1163,75.0
1164,75.0
1165,75.0
1167,50.0
1169,100.0
1170,75.0
1171,100.0
1173,50.0
1175,75.0
1179,75.0
1183,75.0
1185,100.0
1187,75.0
1193,75.0
1197,75.0
1199,75.0
59359,40.0
59375,80.0
59386,100.0
59397,100.0
59469,60.0
59637,40.0
59669,80.0
59688,60.0
59819,40.0
59846,60.0
59847,100.0
59929,80.0
59935,40.0
59994,80.0
60166,80.0
60202,60.0
60393,60.0
60422,80.0
60465,80.0
60509,60.0
60866,60.0
61073,100.0
61356,100.0
61387,40.0
61520,80.0
61565,60.0
61614,100.0
61626,100.0
61656,60.0
61720,60.0
61749,100.0
61762,80.0
61861,40.0
62091,100.0
62296,60.0
62425,80.0
62605,100.0
62982,60.0
64050,60.0
64211,80.0
66237,75.0
66363,40.0
66471,80.0
66534,80.0
66569,80.0
66652,100.0
67128,60.0
67145,80.0
67332,60.0
67411,80.0
67587,40.0
67617,100.0
67712,100.0
68029,100.0
68128,100.0
68226,100.0
68268,60.0
68336,100.0
68398,100.0
68414,100.0
68422,100.0
68482,100.0
68495,100.0
68529,100.0
70065,100.0
70112,60.0
70266,80.0
70280,40.0
70297,80.0
70501,100.0
70707,60.0
70713,40.0
70739,60.0
70741,60.0
70878,40.0
70904,100.0
71011,60.0
71080,80.0
71851,100.0
71900,80.0
71903,60.0
71993,60.0
72212,80.0
72392,100.0
72574,100.0
72640,80.0
72815,100.0
72935,100.0
72963,40.0
73167,80.0
